record_id,dataset,mix_id,mix_family,ref,temp_source,curing_type,curing_C,WC,cement,fly_ash,SCM_other,binder,Sa,RH,age_day,time_h,M_NS,t_eq,DD,f_c,fck,peakT,peak_day,maturity_provisional
594,lit503,FA 20% – 20 °C,FA 20%,"Park et al., 2003",ambient,,20.0,0.42,336.0,84.0,0.0,420.0,45.5,95.0,1.0,24.0,720.0,24.0,20.0,15.2,,,,False
595,lit503,FA 20% – 20 °C,FA 20%,"Park et al., 2003",ambient,,20.0,0.42,336.0,84.0,0.0,420.0,45.5,95.0,3.0,72.0,2160.0,72.0,60.0,23.9,,,,False
596,lit503,FA 20% – 20 °C,FA 20%,"Park et al., 2003",ambient,,20.0,0.42,336.0,84.0,0.0,420.0,45.5,95.0,7.0,168.0,5040.0,168.0,140.0,32.0,,,,False
597,lit503,FA 20% + BFS 30% – 20 °C,FA 20% + BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,252.0,84.0,126.0,462.0,45.5,95.0,1.0,24.0,720.0,24.0,20.0,14.1,,,,False
598,lit503,FA 20% + BFS 30% – 20 °C,FA 20% + BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,252.0,84.0,126.0,462.0,45.5,95.0,3.0,72.0,2160.0,72.0,60.0,22.8,,,,False
599,lit503,FA 20% + BFS 30% – 20 °C,FA 20% + BFS 30%,"Park et al., 2003",ambient,,20.0,0.42,252.0,84.0,126.0,462.0,45.5,95.0,7.0,168.0,5040.0,168.0,140.0,30.1,,,,False
600,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,1.0,24.0,720.0,24.0,20.0,19.3,,,,False
601,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,2.0,48.0,1440.0,48.0,40.0,32.5,,,,False
602,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,3.0,72.0,2160.0,72.0,60.0,41.8,,,,False
603,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,7.0,168.0,5040.0,168.0,140.0,56.4,,,,False
604,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,14.0,336.0,10080.0,336.0,280.0,65.7,,,,False
605,lit503,Series A – W/B 0.30 (20 °C),Series A – W/B 0.30 (20 °C),"Han et al., 2000",ambient,,20.0,0.3,550.0,0.0,0.0,550.0,46.0,95.0,28.0,672.0,20160.0,672.0,560.0,72.9,,,,False
606,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,1.0,24.0,480.0,13.777922554035577,10.0,14.6,,,,False
607,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,2.0,48.0,960.0,27.555845108071154,20.0,28.2,,,,False
608,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,3.0,72.0,1440.0,41.33376766210673,30.0,38.6,,,,False
609,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,7.0,168.0,3360.0,96.44545787824903,70.0,51.2,,,,False
610,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,14.0,336.0,6720.0,192.89091575649806,140.0,58.7,,,,False
611,lit503,Series B – W/B 0.35 (10 °C),Series B – W/B 0.35 (10 °C),"Han et al., 2000",ambient,,10.0,0.35,471.0,0.0,0.0,471.0,46.0,95.0,28.0,672.0,13440.0,385.7818315129961,280.0,63.4,,,,False
612,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,1.0,24.0,360.0,10.284210424993706,5.0,8.5,,,,False
613,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,2.0,48.0,720.0,20.56842084998741,10.0,18.6,,,,False
614,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,3.0,72.0,1080.0,30.852631274981118,15.0,25.1,,,,False
615,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,7.0,168.0,2520.0,71.98947297495594,35.0,39.3,,,,False
616,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,14.0,336.0,5040.0,143.9789459499119,70.0,46.8,,,,False
617,lit503,Series C – W/B 0.45 (5 °C),Series C – W/B 0.45 (5 °C),"Han et al., 2000",ambient,,5.0,0.45,367.0,0.0,0.0,367.0,47.0,95.0,28.0,672.0,10080.0,287.9578918998238,140.0,51.0,,,,False
618,lit503,Series A – 5 °C (OPC),Series A,"Kim et al.,1998",ambient,,5.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,1.0,24.0,360.0,10.284210424993706,5.0,11.2,,,,False
619,lit503,Series A – 5 °C (OPC),Series A,"Kim et al.,1998",ambient,,5.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,3.0,72.0,1080.0,30.852631274981118,15.0,18.5,,,,False
620,lit503,Series A – 5 °C (OPC),Series A,"Kim et al.,1998",ambient,,5.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,7.0,168.0,2520.0,71.98947297495594,35.0,26.4,,,,False
621,lit503,Series A – 5 °C (OPC),Series A,"Kim et al.,1998",ambient,,5.0,0.43,407.0,0.0,0.0,407.0,46.0,95.0,14.0,336.0,5040.0,143.9789459499119,70.0,32.1,,,,False
